,Player,Wins,TotalGames,AvgPoints,TotalPoints,WinPercentage
1,Akash,47,80,222.9,17830,58.8
2,Naati,45,80,209.2,16740,56.2
0,Abhi,45,80,206.4,16510,56.2
4,Prateek,38,80,177.5,14200,47.5
3,Nats,34,80,157.8,12620,42.5
